Login -05/03/2019 18:52:37Se insertó el estudiante con nombre: 
Login -05/03/2019 18:55:47La persona :  ingresó
Login -05/03/2019 19:01:48El usuario :SaraNhm ingresó
Login -05/03/2019 19:08:38 El usuario : Guille ingresó
Login -05/03/2019 19:52:26 El usuario : YuliannaIbco ingresó
Login -05/03/2019 19:58:03 El usuario : Omarcin ingresó
Login -05/03/2019 20:02:13 El usuario : YeseniaM ingresó
Login -05/03/2019 21:02:49 El usuario : SaraNhm ingresó
Login -06/03/2019 12:46:41 El usuario : SaraNhm ingresó
Login -06/03/2019 12:53:41 El usuario : SaraNhm ingresó
Login -07/03/2019 18:04:08 El usuario : SaraNhm ingresó
Login -07/03/2019 18:17:27 El usuario : SaraNhm ingresó
Login -07/03/2019 18:18:55 El usuario : SaraNhm ingresó
Login -08/03/2019 10:46:09 El usuario : YuliannaIbco ingresó
Login -11/03/2019 16:50:01 El usuario : NohemiHdz ingresó
Login -11/03/2019 19:30:22 El usuario : NohemiHdz ingresó
Login -11/03/2019 19:43:58 El usuario : NohemiHdz ingresó
Login -13/03/2019 13:31:13 El usuario : NohemiHdz ingresó
Login -13/03/2019 14:01:07 El usuario : NohemiHdz ingresó
Login -14/03/2019 13:27:49 El usuario : SaraNhm ingresó
Login -14/03/2019 17:03:51 El usuario : SaraNhm ingresó
Login -14/03/2019 17:23:48 El usuario : SaraNhm ingresó
Login -14/03/2019 18:00:12 El usuario : NohemiHdz ingresó
Login -16/03/2019 12:20:15 El usuario : YuliannaIbco ingresó
Login -30/03/2019 23:13:33 El usuario : SaraNhm ingresó
Login -30/03/2019 23:25:34 El usuario : SaraNhm ingresó
Login -30/03/2019 23:28:05 El usuario : SaraNhm ingresó
Login -30/03/2019 23:29:34 El usuario : SaraNhm ingresó
Login -30/03/2019 23:39:12 El usuario : SaraNhm ingresó
Login -30/03/2019 23:40:14 El usuario : SaraNhm ingresó
Login -31/03/2019 11:18:06 El usuario : SaraNhm ingresó
Login -31/03/2019 11:23:21 El usuario : SaraNhm ingresó
Login -31/03/2019 11:48:17 El usuario : SaraNhm ingresó
Login -31/03/2019 11:52:15 El usuario : SaraNhm ingresó
Login -31/03/2019 11:53:41 El usuario : SaraNhm ingresó
Login -31/03/2019 12:05:31 El usuario : SaraNhm ingresó
Login -31/03/2019 12:08:48 El usuario : SaraNhm ingresó
Login -31/03/2019 12:11:21 El usuario : YuliannaIbco ingresó
Login -31/03/2019 12:42:59 El usuario : SaraNhm ingresó
Login -31/03/2019 12:49:43 El usuario : SaraNhm ingresó
Login -31/03/2019 12:59:30 El usuario : SaraNhm ingresó
Login -31/03/2019 13:00:51 El usuario : SaraNhm ingresó
Login -31/03/2019 13:05:11 El usuario : SaraNhm ingresó
Login -31/03/2019 13:06:43 El usuario : YuliannaIbco ingresó
Login -31/03/2019 13:12:51 El usuario : SaraNhm ingresó
Login -31/03/2019 13:16:32 El usuario : SaraNhm ingresó
Login -31/03/2019 13:19:07 El usuario : SaraNhm ingresó
Login -31/03/2019 13:22:41 El usuario : YuliannaIbco ingresó
Login -31/03/2019 22:34:52 El usuario : SaraNhm ingresó
Login -31/03/2019 22:41:58 El usuario : SaraNhm ingresó
Login -31/03/2019 22:44:24 El usuario : SaraNhm ingresó
Login -31/03/2019 22:46:18 El usuario : YuliannaIbco ingresó
Login -31/03/2019 22:50:57 El usuario : YuliannaIbco ingresó
Login -01/04/2019 22:51:35 El usuario : SaraNhm ingresó
Login -01/04/2019 22:53:41 El usuario : SaraNhm ingresó
Login -01/04/2019 22:56:57 El usuario : SaraNhm ingresó
Login -02/04/2019 8:01:17 El usuario : SaraNhm ingresó
Login -02/04/2019 8:03:49 El usuario : SaraNhm ingresó
Login -02/04/2019 8:05:20 El usuario : SaraNhm ingresó
Login -02/04/2019 8:09:03 El usuario : SaraNhm ingresó
Login -02/04/2019 8:20:36 El usuario : SaraNhm ingresó
Login -02/04/2019 8:27:16 El usuario : SaraNhm ingresó
Login -02/04/2019 8:30:37 El usuario : SaraNhm ingresó
Login -02/04/2019 8:33:50 El usuario : SaraNhm ingresó
Login -02/04/2019 8:40:55 El usuario : SaraNhm ingresó
Login -02/04/2019 8:44:06 El usuario : SaraNhm ingresó
Login -02/04/2019 8:47:04 El usuario : SaraNhm ingresó
Login -02/04/2019 8:52:34 El usuario : SaraNhm ingresó
Login -02/04/2019 9:54:06 El usuario : SaraNhm ingresó
Login -02/04/2019 10:06:59 El usuario : SaraNhm ingresó
Login -02/04/2019 10:25:22 El usuario : SaraNhm ingresó
